Algorithm,Run,Seed,Efficiency,Time,Feasible
Hill Climbing,27,1766867109,0.7891666666666666,0.012660741806030273,True
Genetic Algorithm,23,1990212658,0.905,10.911563873291016,True
Tabu Search,26,864178266,0.8975,4.968700170516968,True
Local Search,26,864178266,0.905,4.973901987075806,True
Random Search,24,1678403330,0.8783333333333333,9.325588941574097,True
Variable Neighborhood Search,26,864178266,0.9316666666666666,5.793414354324341,True
Tabu Search,27,1766867109,0.8975,4.769889831542969,True
Hill Climbing,28,1171300112,0.8071296296296295,0.010225534439086914,True
Random Search,25,1382689815,0.8708333333333333,8.435419797897339,True
Genetic Algorithm,25,1382689815,0.8916666666666666,10.394939422607422,True
Genetic Algorithm,24,1678403330,0.9183333333333333,13.008926391601562,True
Local Search,27,1766867109,0.8916666666666666,5.0411787033081055,True
Hill Climbing,29,952224740,0.7405555555555554,0.006445407867431641,True
Tabu Search,28,1171300112,0.8916666666666666,4.761255502700806,True
Genetic Algorithm,26,864178266,0.8783333333333333,9.379117012023926,True
Variable Neighborhood Search,27,1766867109,0.905,6.005719184875488,True
Local Search,28,1171300112,0.905,5.052572965621948,True
Random Search,26,864178266,0.865,9.405796766281128,True
Variable Neighborhood Search,28,1171300112,0.8991666666666666,4.978257179260254,True
Tabu Search,29,952224740,0.8841666666666667,4.2880730628967285,True
Genetic Algorithm,27,1766867109,0.9183333333333333,10.165692567825317,True
Local Search,29,952224740,0.8783333333333333,4.040622234344482,True
Variable Neighborhood Search,29,952224740,0.8916666666666666,3.7207438945770264,True
Random Search,27,1766867109,0.8841666666666667,8.210610389709473,True
Random Search,28,1171300112,0.8991666666666666,6.398290395736694,True
Genetic Algorithm,28,1171300112,0.9124999999999999,9.335682392120361,True
Genetic Algorithm,29,952224740,0.8858333333333333,6.979556083679199,True
Random Search,29,952224740,0.8783333333333333,5.490087270736694,True
Greedy,0,0,0.6942592592592591,0.0001823902130126953,True
